sikayet,temiz_sikayet
"10 yıldır Türk Telekom evde internet kullanıyorum. Adres değişikliği sebebiyle 2 aydan fazla süredir 'port yok' gerekçesiyle internet hizmeti alamıyor ve muhatap bulamıyorum. Bu sebepten dolayı iki GSM hattımı başka operatöre taşıdım. Çok ilgisiz bir firma, müşteri memnuniyeti sıfır.","10 yıldır türk telekom evde internet kullanıyorum. adres değişikliği sebebiyle 2 aydan fazla süredir port yok gerekçesiyle internet hizmeti alamıyor ve muhatap bulamıyorum. bu sebepten dolayı iki gsm hattımı başka operatöre taşıdım. çok ilgisiz bir firma, müşteri memnuniyeti sıfır."
"İnternet Altyapı Sorunumuzla Kimse İlgilenmiyor, İnternetsiz kaldık. Adresimizde uzun süredir internet altyapısı sorunu yaşıyoruz. Mevcut internet hızımız 1 Mbps’yi dahi geçmiyor, bu da günümüz koşullarında temel internet kullanımını bile imkansız hale getiriyor. Altyapı sağlayıcısı olarak Türk Tel...","i nternet altyapı sorunumuzla kimse i lgilenmiyor, i nternetsiz kaldık. adresimizde uzun süredir internet altyapısı sorunu yaşıyoruz. mevcut internet hızımız 1 mbps yi dahi geçmiyor, bu da günümüz koşullarında temel internet kullanımını bile imkansız hale getiriyor. altyapı sağlayıcısı olarak türk tel..."
Türk Telekom 7020495400 numaralı abonesiyim. 10.07.2025 tarihinde Turkcell firmasının apartmanımız önünde yaptığı kazı sırasında Türk Telekom fiber kablolarımız kopmuştur. Bu tarihten beri apartmana gelen tüm Türk Telekom kablolarının bağlantısı yoktur. Her gün müşteri hizmetleri aracılığıyla durumu...,türk telekom 7020495400 numaralı abonesiyim. 10.07.2025 tarihinde turkcell firmasının apartmanımız önünde yaptığı kazı sırasında türk telekom fiber kablolarımız kopmuştur. bu tarihten beri apartmana gelen tüm türk telekom kablolarının bağlantısı yoktur. her gün müşteri hizmetleri aracılığıyla durumu...
Türk Telekom Nakil İşlemi için 12/07/2025 tarihinde başvuru yapmıştım ancak bugün 24/07/2025 ve hala gelip interneti bağlamıyorlar. Bu firma Türkiye'nin en büyük Telekomünikasyon firması üstelik. Sadece nakil işlemini yapmadıkları gibi bir de bana nakil için verdikleri randevu tarihi ve saatine de u...,türk telekom nakil i şlemi için 12 07 2025 tarihinde başvuru yapmıştım ancak bugün 24 07 2025 ve hala gelip interneti bağlamıyorlar. bu firma türkiye nin en büyük telekomünikasyon firması üstelik. sadece nakil işlemini yapmadıkları gibi bir de bana nakil için verdikleri randevu tarihi ve saatine de u...
"24 Temmuz 2025 tarihinde saat 12:22'de, Türk Telekom'dan aradığını söyleyen 0212 901 06 20 numaralı telefondan arandım. İnternetimle ilgili altyapı problemi olduğu ve işlem yapılması gerektiği belirtildi. İşlem olarak modemin değişmesi gerektiği ve 4bin küsur tl ödeme yapmam gerektiği söylendi. Fat...","24 temmuz 2025 tarihinde saat 12 22 de, türk telekom dan aradığını söyleyen 0212 901 06 20 numaralı telefondan arandım. i nternetimle ilgili altyapı problemi olduğu ve işlem yapılması gerektiği belirtildi. i şlem olarak modemin değişmesi gerektiği ve 4bin küsur tl ödeme yapmam gerektiği söylendi. fat..."
Sn. ; Türk Telekom Yetkilisi ; Vodafone Net ev internetimi taşınmadan dolayı 09.07.2025 tarihi nde nakil işlemlerimi başlattım. Ancak bugün 21.07.2025 tarih olmasına rağmen hala nakil işlemlerim tamamlanamadı. Bulunduğum köyde ne fiber kablo var ne de döşeyecek usta var! Türk Telekom binamızın için...,sn. türk telekom yetkilisi vodafone net ev internetimi taşınmadan dolayı 09.07.2025 tarihi nde nakil işlemlerimi başlattım. ancak bugün 21.07.2025 tarih olmasına rağmen hala nakil işlemlerim tamamlanamadı. bulunduğum köyde ne fiber kablo var ne de döşeyecek usta var! türk telekom binamızın için...
Pazar günü internet başvurusunda bulundum ve bana pazartesi günü kuruluma gelineceğine dair mesaj geldi. Ancak pazartesi gelen giden olmadı. Salı günü müşteri hizmetlerinden başka bir randevu oluşturmak için arandım ve o günün dolu olduğunu çarşamba günü 13.30 ile 18.00 arası kuruluma gelinebileceği...,pazar günü internet başvurusunda bulundum ve bana pazartesi günü kuruluma gelineceğine dair mesaj geldi. ancak pazartesi gelen giden olmadı. salı günü müşteri hizmetlerinden başka bir randevu oluşturmak için arandım ve o günün dolu olduğunu çarşamba günü 13.30 ile 18.00 arası kuruluma gelinebileceği...
Türk Telekom gibi rezil eden firma görmedim. Bursa'da bir büyükşehir merkezinde çekmiyor şikayet sonucu aldığım cevap orada bir vericimiz yok bir şey yapamayız. Evimde telefonumu internetimi kullanamıyorum. Yunuseli'de Gemlik'te Kiremitçi Mahallesi'nde birçok yerde çekim sorunu yaşıyorum ve sadece b...,türk telekom gibi rezil eden firma görmedim. bursa da bir büyükşehir merkezinde çekmiyor şikayet sonucu aldığım cevap orada bir vericimiz yok bir şey yapamayız. evimde telefonumu internetimi kullanamıyorum. yunuseli de gemlik te kiremitçi mahallesi nde birçok yerde çekim sorunu yaşıyorum ve sadece b...
"Türk Telekom ev interneti abonesiyim. 23 Temmuz 2025 saat15.20 de internet kesildi, müşteri hizmetlerini aradım. Telefondaki görevli ""Modeminizin anakartı yanmış, patlama riski var, yeni yasaya göre modeminizin değişmesi, bunun için de en az 3.590. Tl ödemeniz gerekiyor,72 saat içinde yeni modeminiz...","türk telekom ev interneti abonesiyim. 23 temmuz 2025 saat15.20 de internet kesildi, müşteri hizmetlerini aradım. telefondaki görevli modeminizin anakartı yanmış, patlama riski var, yeni yasaya göre modeminizin değişmesi, bunun için de en az 3.590. tl ödemeniz gerekiyor,72 saat içinde yeni modeminiz..."
"Aşağıda bilgileri belirtilen adreste bulunan binamızda, Sözleşme Hesap No: 415390/095 numaralı abonelik kapsamında, Çırçır Mahallesi, Sunar Sokak, No:6-12, Daire:29 adresinde, 22 Temmuz 2025 saat 11:10 itibarıyla başlayan elektrik kesintisi, bu yazının yazıldığı 23 Temmuz 2025 saat 10:00 itibarıyla ...","aşağıda bilgileri belirtilen adreste bulunan binamızda, sözleşme hesap no 415390 095 numaralı abonelik kapsamında, çırçır mahallesi, sunar sokak, no 6 12, daire 29 adresinde, 22 temmuz 2025 saat 11 10 itibarıyla başlayan elektrik kesintisi, bu yazının yazıldığı 23 temmuz 2025 saat 10 00 itibarıyla ..."
Akçaburgaz Mah. O**** G******* cad. No:5 Esenyurt/İST (cht kimya ve mcs Group firma önü) 2 ad. Telefon direği devrildi. Türk Telekom'a bildirdiğimiz halde 2 aydır ilgilenen kimse olmadı. Kablolar yerlerde çürüdü. Direkleri kendi imkanlarımızla halatlarla bağladık emanet duruyor. Bu ilgisizlik ve s...,akçaburgaz mah. o g cad. no 5 esenyurt i st cht kimya ve mcs group firma önü 2 ad. telefon direği devrildi. türk telekom a bildirdiğimiz halde 2 aydır ilgilenen kimse olmadı. kablolar yerlerde çürüdü. direkleri kendi imkanlarımızla halatlarla bağladık emanet duruyor. bu ilgisizlik ve s...
8848723385 hizmet numaralı Türk Telekom internetimiz için yaşadığımız bağlantı problemi 20 gündür Türk Telekom tarafından çözülmüyor. Çözülmüyor diyorum Çünkü arıza açıldıktan sonra gönderilen otomatik mesajdan başka en ufak bir geri dönüş veya uğraştıklarına dair bir ibare yok. Arıyoruz genel arı...,8848723385 hizmet numaralı türk telekom internetimiz için yaşadığımız bağlantı problemi 20 gündür türk telekom tarafından çözülmüyor. çözülmüyor diyorum çünkü arıza açıldıktan sonra gönderilen otomatik mesajdan başka en ufak bir geri dönüş veya uğraştıklarına dair bir ibare yok. arıyoruz genel arı...
